Date,Open,High,Low,Close,Adj_Close,Volume
2011-01-03,5.368000,5.400000,5.180000,5.324000,5.324000,6415000
2011-01-04,5.332000,5.390000,5.204000,5.334000,5.334000,5937000
2011-01-05,5.296000,5.380000,5.238000,5.366000,5.366000,7233500
2011-01-06,5.366000,5.600000,5.362000,5.576000,5.576000,10306000
2011-01-07,5.600000,5.716000,5.580000,5.648000,5.648000,11239500
2011-01-10,5.634000,5.736000,5.610000,5.690000,5.690000,6713500
2011-01-11,5.718000,5.742000,5.384000,5.392000,5.392000,8551000
2011-01-12,5.402000,5.480000,5.304000,5.392000,5.392000,4822000
2011-01-13,5.392000,5.394000,5.232000,5.244000,5.244000,3618000
2011-01-14,5.230000,5.316000,5.122000,5.150000,5.150000,5960000
2011-01-18,5.096000,5.128000,4.950000,5.128000,5.128000,8108500
2011-01-19,5.054000,5.094000,4.750000,4.806000,4.806000,11857500
2011-01-20,4.806000,4.890000,4.474000,4.524000,4.524000,11399500
2011-01-21,4.624000,4.718000,4.542000,4.608000,4.608000,6085000
2011-01-24,4.706000,4.962000,4.646000,4.898000,4.898000,8225500
